GW,OR,#,OP,GWR,GWP,PB,TM,TC,£,Chip
GW33,949800,,1855,138371,75,0,0,0,103.1,BB
GW32,1384662,,1780,2553534,58,11,0,0,103.1,WC
GW31,1456402,,1722,2113448,57,0,1,0,103.7,
GW30,1572991,,1665,747780,62,11,2,4,103.6,
GW29,1776765,,1607,8337545,48,6,1,0,103.7,
GW28,1463756,,1559,2759802,68,2,1,0,104.1,
GW27,1557136,,1491,7080717,44,7,1,0,104.1,
GW26,1497816,,1447,7641373,56,15,3,0,104.3,TC
GW25,1306198,,1391,4033279,65,13,0,0,104.6,
GW24,1277581,,1326,1175406,71,1,0,0,104.3,
GW23,1591799,,1255,9906812,36,25,1,0,103.8,
GW22,1401794,,1219,885495,57,16,2,4,103.0,
GW21,1797357,,1166,2509806,60,21,2,0,103.0,
GW20,1942259,,1106,2446071,53,1,0,0,103.1,
GW19,2149149,,1053,7143188,39,7,2,4,103.1,
GW18,1963692,,1018,11880602,28,13,3,4,103.0,
GW17,1290586,,994,8043569,62,5,3,0,103.6,
GW16,841640,,932,4652300,65,5,2,0,103.4,
GW15,694760,,867,7841099,45,22,2,4,102.8,
GW14,456370,,826,6242840,61,2,2,0,103.0,
GW13,330329,,765,374095,60,6,0,0,103.3,FH
GW12,671487,,705,3703036,45,0,2,0,103.1,BB
GW11,736966,,660,7614118,35,17,0,0,102.4,
GW10,588356,,625,80325,96,14,0,0,101.6,WC
GW9,1353789,,529,4455546,50,15,0,0,101.3,
GW8,1436630,,479,5442478,59,19,1,0,101.1,
GW7,1147535,,420,465782,86,13,1,0,100.2,
GW6,2141625,,334,478173,77,16,3,4,100.0,TC
GW5,4143017,,261,3275989,49,13,1,0,99.9,
GW4,4971074,,212,7460062,59,4,1,0,99.9,
GW3,4357473,,153,5135661,49,14,1,0,99.9,
GW2,4706099,,104,4480945,53,6,0,0,100.0,
GW1,5471399,,51,5471408,51,3,0,0,100.0,
